"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Switzerland","CHE","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","17.56728","18.93137","18.60307","18.92359","17.60462","17.64809","16.81163","17.63708","17.34708","18.54749","19.86338","20.10699","19.66839","19.99105","19.68156","19.13421","19.84031","20.27419","20.39868","20.79405","20.92507","21.15714","","20.67873","20.50509","19.91414","19.74487","","20.34507","22.30876","22.29218","23.111","24.22523","27.0848","27.942","25.95954","26.59321","25.4512","23.99906","25.14305","25.30709","25.99618","26.3081","26.14603","26.37799","26.2626","26.00316","","","","",
"Channel Islands","CHI","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","47.93494","27.35102","","","32.45636","33.66482","35.8439","36.3581","","","","","","20.76482","","","20.14737","","","20.79722","19.17723","17.64221","16.72845","16.52374","16.5246","","14.53464","","14.02741","13.1512","15.1174","13.96576","14.81158","15.31078","14.51448","15.60172","22.32997","21.79243","","25.61457","24.69634","25.68189","25.39554","25.15363","","","",
"China","CHN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","13.92145","14.28223","15.73626","15.98394","15.98305","16.81709","16.54942","20.77436","26.3851","30.66925","31.57293","30.53421","32.53898","33.95889","34.1342","34.16858","32.1679","29.38277","","","","25.93177","23.18865","21.38331","19.54807","19.66055","","15.58072","23.98415","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","15.2677","","13.94633","13.79976","18.83858","18.12563","15.93877","","22.70772","23.8944","15.28025","","","","","","","","","","","","14.81622","15.25327","16.71696","18.55619","18.26501","19.72602","23.51193","20.80258","22.04268","19.42326","17.32955","18.69688","20.22161","20","21.9331","23.9028","23.77474","21.93434","22.23469","25.85954","24.76669","24.89689","21.02246","21.4443","21.8988","26.03471","14.02777","","",
"Cameroon","CMR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","18.47117","20.38072","","","","","","","","","","32.00739","36.66842","25.36063","","27.39245","27.3806","25.8742","32.47118","36.50361","29.54301","15.6134","","","","","","","","","","","","10.3624","12.64325","10.49811","10.61487","8.85137","8.62576","9.04275","15.09368","7.76979","10.20724","","","","","","","",
"Congo, Dem. Rep.","COD","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","30.51076","25.69367","23.43929","33.22206","25.99722","28.49055","25.99732","23.23173","35.41486","","","","","","","","","","","","","","","","","","","","","","23.99784","","","21.95353","","23.80564","","","","","",
"Congo, Rep.","COG","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","9.30186","14.2855","","17.4647","","27.37136","","","22.02762","24.91557","25.62575","","","","","","","","","","","","","","29.78581","27.52637","","","","","","","25.46646","","","25.91235","","","","","10.87259","","","","","","","","","","",
"Colombia","COL","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","23.35616","25.52646","22.79936","","","20.62349","22.49012","","","","18.79159","","","","","","","","","19.59094","19.07028","19.87775","19.87471","","","13.3083","13.81403","","","22.04587","19.59373","22.10541","20.60527","21.97269","17.72644","20.75521","21.38159","22.97659","22.49238","23.31461","","",
"Comoros","COM","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","4.54609","","","","","","","","","","","","","","","","","","","","","","","","","","","3.31705","","","","7.66893","","","","","","14.60796","","","8.97309","8.20401","9.742","7.74071","10.41168","","","","","",
"Cabo Verde","CPV","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.51308","","","","11.15206","","11.27392","13.96658","","16.57033","","15.81999","17.47844","18.42339","17.64119","17.15109","","","",
"Costa Rica","CRI","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","29.56944","","37.10376","31.08849","","","43.22026","","42.82559","42.26739","","","","","","31.27259","28.48134","","","17.28584","19.43766","19.15676","18.81469","","18.7763","","20.92713","20.9087","20.90153","18.98625","18.41766","19.63842","19.68788","20.51479","21.68091","22.25432","22.95425","23.63856","23.13634","","",
"Caribbean small states","CSS","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","7.49139","9.03829","18.43401","18.2329","18.76935","","","17.42412","","11.99649","20.95113","21.51176","18.504835","19.23205","","19.45934","15.718825","14.66749","20.60858","22.28916","25.14373","19.27121","23.65064","21.76215","21.39767","","","","21.33073","19.15634","14.79285","18.82431","22.07259","","19.99549","15.71206","20.27473","21.84405","19.84049","17.56025","17.6092","17.4903","17.387","18.22901","19.25634","19.59513","","",
"Cuba","CUB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","9.04242","","","","","","","","","","","18.06756","","18.78736","19.01944","","","","16.43377","15.92241","17.5713","17.10481","17.53864","","21.77871","22.06052","22.89283","25.11732","","","","","","","","","","","","","",
"Curacao","CUW","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.25014","","","","","","","",
"Cayman Islands","CYM","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","8.88695","10.46719","8.55856","6.00202","4.58963","3.58137","3.11275","3.56046","5.55522","4.83","4.14235","3.85403","3.8539","","4.21407","4.36933","4.28789","4.54279","4.14125","3.8675","3.81763","3.8544","6.32145","5.8024","6.25872","7.14634","","","","14.7535","17.12993","12.82839","14.43299","21.26273","22.01836","22.86093","23.52663","23.31487","24.98685","25.76502","20.45646","20.44679","","22.40035","20.80751","20.70407","20.78145","","","","",
"Czech Republic","CZE","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.85927","18.74218","15.25442","14.96658","16.05364","","18.91405","19.09867","18.97731","19.33629","19.99625","20.75441","21.50678","21.01366","26.69742","25.51026","23.70898","23.22273","22.53438","25.79253","23.42144","21.47734","20.03148","13.32785","12.59606","","","","",
"Germany","DEU","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.08193","22.20447","23.04705","23.35106","","23.25234","","","","","","","","25.18597","25.36404","26.65244","26.44158","27.16245","28.12803","26.78422","26.48312","26.58781","25.94906","25.98579","","","","",
"Djibouti","DJI","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","0","2.77056","","","","","","","","14.62513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4995","","","","","","","","","","",
"Dominica","DMA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.38295","","","","","","","","","","","","","","","","","","","","","","","","","","8.86249","","","","","",
"Denmark","DNK","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","20.65032","17.81064","18.53976","21.10052","20.73998","21.79594","","19.44313","17.87803","16.62879","17.40874","","","","","","23.37884","21.85535","23.32637","17.87843","","21.28125","","26.01291","25.91195","24.24841","23.74403","","26.12616","28.98839","30.00131","32.09439","31.97987","29.9952","29.82436","28.67793","28.3821","29.197","28.30347","27.64096","27.32889","27.90448","29.99536","26.89384","30.68284","","","","","","",
"Dominican Republic","DOM","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","25.36899","","","","","","","","","","","","23.56557","24.12465","20.67305","22.24228","","","","","","","","13.29292","10.55549","9.34112","13.42928","","","","","","","","","","","14.535","","","","","","","","","","","","","",
"Algeria","DZA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","13.91096","19.71122","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.97261","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.76498","21.736755","18.62703","","","","","","","","","","","","12.90295","15.267035","17.426945","15.73127","15.28114","","","","","","","",
"Early-demographic dividend","EAR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.31806","16.22068","19.79091","18.36539","16.41355","","","","","","","",
